sk_cargo,cargo,rotulo,familia
c518a4f98887a30b,Analista_de_BI/BI_Analyst,Analista de BI,Análise
fe17ae5e2eff92b0,Analista_de_Dados/Data_Analyst,Analista de Dados,Análise
8818711bc0443716,Analista_de_Inteligencia_de_Mercado/Market_Intelligence,Analista de Market Intelligence,Análise
f4309b3f4ebdc8d0,Analista_de_Negocios/Business_Analyst,Analista de Negócios,Análise
22254c459c370bc8,Analista_de_Suporte/Analista_Tecnico,Analista de Suporte,Análise
bc49c018363808cc,Analytics_Engineer,Analytics Engineer,Engenharia
7d6b6a94eaac02b7,Arquiteto_de_Dados/Data_Architect,Arquiteto de Dados,Engenharia
c2746be945b965d3,Cientista_de_Dados/Data_Scientist,Cientista de Dados,Ciência de Dados
77c9599a34f7fad8,DBA/Administrador_de_Banco_de_Dados,DBA,Engenharia
91aaff70ef7b0d7e,Desenvolvedor/_Engenheiro_de_Software/_Analista_de_Sistemas,Desenvolvedor / Eng. de Software,Engenharia de Software
cd95eee51aa193ac,Economista,Economista,Outros
e6a628f18955ffc3,Engenheiro_de_Dados/Data_Engineer/Data_Architect,Engenheiro de Dados,Engenharia
f1d982ec22966a77,Engenheiro_de_Machine_Learning/ML_Engineer/AI_Engineer,Engenheiro de ML / IA,Machine Learning / IA
6247dff2661fd802,Estatistico,Estatístico,Ciência de Dados
7965412285b572c6,Outras_Engenharias_(nao_inclui_dev),Outras Engenharias,Engenharia de Software
dbb936c8c1ffecd9,Outra_Opcao,Outros,Outros
cb6d01a5d97e4b3e,Data_Product_Manager/_Product_Manager_(PM/APM/DPM/GPM/PO),Product Manager de Dados,Produto e Gestão
c021be4e9d668511,Professor/Pesquisador,Professor / Pesquisador,Academia
