sk_geografia,uf,estado,estado_rotulo,regiao,pais
472e73d796e20aa8,AC,Acre_(AC),Acre,,Brasil
e6c5af58dda1be3d,RR,Roraima_(RR),Roraima,,Brasil
4a3161bbf086290c,DF,Distrito_Federal_(DF),Distrito Federal,Centro-oeste,Brasil
a0f949497a74dde0,GO,Goias_(GO),Goias,Centro-oeste,Brasil
4d95e550b47c0122,MS,Mato_Grosso_do_Sul_(MS),Mato Grosso do Sul,Centro-oeste,Brasil
409521f02c8b29bd,MT,Mato_Grosso_(MT),Mato Grosso,Centro-oeste,Brasil
b7aea05ac84d296a,AL,Alagoas_(AL),Alagoas,Nordeste,Brasil
296d71a7f66e75b7,BA,Bahia_(BA),Bahia,Nordeste,Brasil
d68956cd067ac773,CE,Ceara_(CE),Ceara,Nordeste,Brasil
f0055891f09fff48,MA,Maranhao_(MA),Maranhao,Nordeste,Brasil
f9085bf3a4e33576,PB,Paraiba_(PB),Paraiba,Nordeste,Brasil
294763754a8efd4c,PE,Pernambuco_(PE),Pernambuco,Nordeste,Brasil
7c06efd88710f54f,PI,Piaui_(PI),Piaui,Nordeste,Brasil
cf25077a1a31594f,RN,Rio_Grande_do_Norte_(RN),Rio Grande do Norte,Nordeste,Brasil
f031b70a2653be44,SE,Sergipe_(SE),Sergipe,Nordeste,Brasil
c8f48a68649d1cae,AM,Amazonas_(AM),Amazonas,Norte,Brasil
84810bfea2375dab,AP,Amapa_(AP),Amapa,Norte,Brasil
86a7f47b333770c6,PA,Para_(PA),Para,Norte,Brasil
0049aa51a630b791,RO,Rondonia_(RO),Rondonia,Norte,Brasil
c3bd7d9e8b2caee8,TO,Tocantins_(TO),Tocantins,Norte,Brasil
ce344a418127968f,ES,Espirito_Santo_(ES),Espirito Santo,Sudeste,Brasil
6f496e9738ca13d1,MG,Minas_Gerais_(MG),Minas Gerais,Sudeste,Brasil
0df9e03357ae3a2b,RJ,Rio_de_Janeiro_(RJ),Rio de Janeiro,Sudeste,Brasil
f5aeb0b6798a7470,SP,Sao_Paulo_(SP),Sao Paulo,Sudeste,Brasil
c3972ccd73541907,PR,Parana_(PR),Parana,Sul,Brasil
667e1c97e3c6f471,RS,Rio_Grande_do_Sul_(RS),Rio Grande do Sul,Sul,Brasil
32da6721804f1dd3,SC,Santa_Catarina_(SC),Santa Catarina,Sul,Brasil
