sk_opcao,grupo,grupo_rotulo,opcao,opcao_rotulo,comparavel_entre_anos
f421c42654b21746,atividades_analista_dados,Atividades: Analista de Dados,SSIS_1,SSIS_1,False
1dc7f9aca4905e27,atividades_analista_dados,Atividades: Analista de Dados,alteryx_2,alteryx_2,False
dda4a186003b99ac,atividades_analista_dados,Atividades: Analista de Dados,alteryx_analista,alteryx_analista,False
23336335ff45f552,atividades_analista_dados,Atividades: Analista de Dados,analise_processamento_linguagem_prog,analise_processamento_linguagem_prog,False
0961981fcff03a79,atividades_analista_dados,Atividades: Analista de Dados,apache_airflow_1,apache_airflow_1,False
97faa0d40a3391e5,atividades_analista_dados,Atividades: Analista de Dados,apache_airflow_analista,apache_airflow_analista,False
9308224fb3cfff83,atividades_analista_dados,Atividades: Analista de Dados,apache_nifi_1,apache_nifi_1,False
7736f7484b7d4eb9,atividades_analista_dados,Atividades: Analista de Dados,apache_nifi_analista,apache_nifi_analista,False
0344258dbb2a9217,atividades_analista_dados,Atividades: Analista de Dados,aws_glue_1,aws_glue_1,False
d4cee515d0c9e415,atividades_analista_dados,Atividades: Analista de Dados,aws_glue_analista,aws_glue_analista,False
0625bb0a21a8bd2e,atividades_analista_dados,Atividades: Analista de Dados,criacao_manutencao_etl_analista,criacao_manutencao_etl_analista,False
a14565a767591e21,atividades_analista_dados,Atividades: Analista de Dados,dashboard_ferramentas_bi,dashboard_ferramentas_bi,False
c6adc84cc84eab7d,atividades_analista_dados,Atividades: Analista de Dados,dashboards_ferramenta_bi_analista,dashboards_ferramenta_bi_analista,False
94e32e614597e270,atividades_analista_dados,Atividades: Analista de Dados,dashboards_script_analista,dashboards_script_analista,False
1caf96c334874f95,atividades_analista_dados,Atividades: Analista de Dados,databricks_2,databricks_2,False
1aa9aff52c584065,atividades_analista_dados,Atividades: Analista de Dados,databricks_analista,databricks_analista,False
f8c8d212ad1ba7ae,atividades_analista_dados,Atividades: Analista de Dados,empresa_nao_utiliza_ferramenta_autonomia,empresa_nao_utiliza_ferramenta_autonomia,False
87f79e156a0711eb,atividades_analista_dados,Atividades: Analista de Dados,engenheiro_dados_sem_ferramenta_etl_1,engenheiro_dados_sem_ferramenta_etl_1,False
e20a1687f3bf6c0e,atividades_analista_dados,Atividades: Analista de Dados,estudo_experimentos_util_estatistica,estudo_experimentos_util_estatistica,False
bf8dacac59714d55,atividades_analista_dados,Atividades: Analista de Dados,estudo_uso_estatistica_analista,estudo_uso_estatistica_analista,False
ee379307eee53970,atividades_analista_dados,Atividades: Analista de Dados,exportacao_rel_area_neg_analista_dados,exportacao_rel_area_neg_analista_dados,False
24a79fc027eee013,atividades_analista_dados,Atividades: Analista de Dados,exportacao_rel_para_area_neg_1,exportacao_rel_para_area_neg_1,False
53258b49d7737c3d,atividades_analista_dados,Atividades: Analista de Dados,extracao_api_analista,extracao_api_analista,False
