sk_setor,setor,rotulo
a4ae60a328c87d96,Agronegocios,Agronegócio
757645cf0ac935b1,Setor_Alimenticio,Alimentício
4aaeee29d0fe6f08,Setor_Automotivo,Automotivo
5835bc43ea92d4c5,Area_de_Consultoria,Consultoria
460e4e0bd6b3cd1d,Educacao,Educação
e551bb41f4b028d9,Setor_de_Energia,Energia
4e117ea5e7a4c94d,Entretenimento_ou_Esportes,Entretenimento e Esportes
fe65f83ee4784d7c,Setor_Farmaceutico,Farmacêutico
a882ae272d5a82dc,Filantropia/ONG's,Filantropia / ONG
0e1e984e5bd7c32f,Financas_ou_Bancos,Finanças e Bancos
4624962e6e79d5fb,Setor_Imobiliario/_Construcao_Civil,Imobiliário e Construção
8d8376636f8ade6f,Industria,Indústria
0a59d734aa225a41,Internet/Ecommerce,Internet / E-commerce
f5904cf7a1231a7a,Marketing,Marketing
dbb936c8c1ffecd9,Outra_Opcao,Outros
1f52ebe07a196a36,Area_da_Saude,Saúde
e98c69c2254daa93,Seguros_ou_Previdencia,Seguros e Previdência
69e1b53db3e87dcd,Setor_Publico,Setor Público
78dcf54c346ca653,Tecnologia/Fabrica_de_Software,Tecnologia / Software
f441529a404b6a84,Telecomunicacao,Telecomunicações
db2fc8aea5e4d81c,Varejo,Varejo
