sk_respondente,sk_geografia,sk_cargo,sk_senioridade,sk_setor,sk_genero_valor,sk_nivel_ensino,sk_area_formacao,sk_modelo_trabalho,sk_tempo_experiencia,sk_faixa_salarial,edicao,cor_raca_etnia,pcd,faixa_etaria,idade,salario_estimado,eh_gestor,pcd_flag,vive_brasil,satisfeito_empresa,empresa_possui_datalake,empresa_possui_dw,houve_layoff,fui_afetado_layoff,serie_comparavel,ia_gen_prioridade,empresa_passou_layoff,llms_bom_resultado,qtd_atividades_analista_dados,qtd_atividades_cientista_dados,qtd_atividades_engenheiro_dados,qtd_bancos_dados,qtd_barreiras_ia_generativa,qtd_cargos_no_time,qtd_clouds,qtd_desafios_gestor,qtd_exp_prof_prejudicada,qtd_fatores_avaliacao_emprego,qtd_fatores_troca_emprego,qtd_ferramentas_bi,qtd_fontes_dados,qtd_linguagens,qtd_motivos_insatisfacao_2023,qtd_percepcao_carreira,qtd_uso_ia_generativa,qtd_linguagem_preferida,qtd_cloud_preferida,qtd_ferramenta_bi_diaria,usa_ia_generativa,respondeu_bloco_ia_empresa,respondeu_bloco_maturidade,id_origem,data_envio,ano_pesquisa
f5b3fbcfbdb27ee40f0bb19ee2e8d494a0fa933e1be64bd61fe872c747d800d3,6f496e9738ca13d1,c2746be945b965d3,92613a8f434050ae,0e1e984e5bd7c32f,cbb8b78dc192f1be,a7d05515eec02b7a,fe3df6ab57602796,7e9f6dc0fde56d40,2048c036bd9b18b5,940f48d40481453d,2023-2024,Branca,Nao,30-34,31,14000.5,False,False,True,False,,,False,False,True,,Nao_ocorreram_layoffs/demissoes_em_massa_na_empresa_em_que_trabalho,,,10.0,,5.0,,,1.0,,,3.0,,1.0,8.0,2.0,0.0,,4.0,1.0,1.0,1.0,False,False,False,001b2d1qtli8t9z7oqgdhj001b2d4i0g,,2023
773a1a34c81534b844f083e09965dd49e1a07d86c9ea5cded2580fdc74aa0ffc,667e1c97e3c6f471,dbb936c8c1ffecd9,55cdc119d607e551,78dcf54c346ca653,f3602ece1606872c,2833afa24eae7ac7,936382867105808c,c9ed1c765640c18d,982900b1b6b3c126,67d183cf4199ecb9,2023-2024,Preta,Nao,30-34,32,3500.5,False,False,True,True,,,False,False,True,,Nao_ocorreram_layoffs/demissoes_em_massa_na_empresa_em_que_trabalho,,,,,2.0,,,1.0,,1.0,3.0,,1.0,2.0,1.0,,2.0,3.0,1.0,1.0,1.0,True,False,False,02yuxvtb6698rqwq8w02yuza594l7cut,,2023
eae5d51ff660748809acfc4946730a423f65ac53685e63408bf920249fed66de,f5aeb0b6798a7470,cd95eee51aa193ac,55cdc119d607e551,5835bc43ea92d4c5,cbb8b78dc192f1be,45257b7dd1c84b75,936382867105808c,7e9f6dc0fde56d40,2de7e75800b84bf1,d95903abcbe2576f,2023-2024,Branca,Nao,30-34,30,10000.5,False,False,True,True,,,False,False,False,,Nao_ocorreram_layoffs/demissoes_em_massa_na_empresa_em_que_trabalho,,,12.0,,1.0,,,,,,3.0,,1.0,4.0,2.0,,,2.0,1.0,,1.0,True,False,False,076sddptnza0htgkwxmr1jr076sddptb,,2023
58af517abdef3daaa3b2409945e10320203b9717158265b9eb213ab2f2a5a598,f5aeb0b6798a7470,c2746be945b965d3,55cdc119d607e551,f5904cf7a1231a7a,cbb8b78dc192f1be,d68d5f833235fe5f,a8345d98542c8fcb,c9ed1c765640c18d,2048c036bd9b18b5,67d183cf4199ecb9,2023-2024,Amarela,Prefiro_nao_informar,22-24,23,3500.5,False,,True,False,,,True,False,True,,"Sim,_ocorreram_layoffs/demissoes_em_massa_na_empresa_em_que_trabalho_mas_nao_fui_afetado",,10.0,,,2.0,,,2.0,,1.0,3.0,,3.0,7.0,5.0,3.0,,2.0,1.0,2.0,2.0,True,False,False,08f7gp5stfs0txz08fn357e56e1co6sj,,2023
f76312b5c3e2ea6b3c578c62438bfafa8038d263e93e816a42a2eb6c2a1718a8,296d71a7f66e75b7,f4309b3f4ebdc8d0,92613a8f434050ae,5835bc43ea92d4c5,f3602ece1606872c,43eba83eee969f1e,3053d057e7d49d8f,c9ed1c765640c18d,0e2cf1c49e48255b,85595ffccc905ca5,2023-2024,Branca,Nao,30-34,33,5000.5,False,False,True,False,,,True,False,True,,"Sim,_ocorreram_layoffs/demissoes_em_massa_na_empresa_em_que_trabalho_mas_nao_fui_afetado",,,,,,,,,,,1.0,,,,,1.0,,,,,,,False,False,09esdc97ebk0609es03a7nf83pw1owqg,,2023
b04b6865536fcacfac4658268b998dbaa6eebae4af0f62fdd6038960cfbc04f3,6f496e9738ca13d1,,,5835bc43ea92d4c5,f3602ece1606872c,d68d5f833235fe5f,3053d057e7d49d8f,3274ca06d4c94bff,2048c036bd9b18b5,85595ffccc905ca5,2023-2024,Branca,Nao,22-24,23,5000.5,True,False,True,True,,,False,False,True,"Mais_ou_menos..._E_uma_das_varias_iniciativas_que_estamos_impulsionando,_mas_nao_e_uma_prioridade_(tratam-se_de_iniciativas_isoladas_e_com_pouco_foco).",Nao_ocorreram_layoffs/demissoes_em_massa_na_empresa_em_que_trabalho,,,,,,1.0,3.0,,9.0,1.0,1.0,,,,,,1.0,1.0,,,,True,True,False,0bb3tmiavc8odqz33eojlr0bb3to0mtu,,2023
745132f35f72327d3a0161981cfbc55eadc7aad07c7cbbfa89cd75f21592b5f6,f5aeb0b6798a7470,fe17ae5e2eff92b0,55cdc119d607e551,db2fc8aea5e4d81c,cbb8b78dc192f1be,43eba83eee969f1e,fe3df6ab57602796,3274ca06d4c94bff,2048c036bd9b18b5,e25c1203a442e6ba,2023-2024,Branca,Nao,22-24,22,7000.5,False,False,True,True,,,False,False,True,,Nao_ocorreram_layoffs/demissoes_em_massa_na_empresa_em_que_trabalho,,9.0,,,1.0,,,,,,3.0,,1.0,2.0,2.0,,,2.0,1.0,,1.0,True,False,False,0beob0vw5kuacjool0w0beobkbzsh06f,,2023
163cdfe64b25320f385bbe521ce70154fb8106fdd8115587250c833c4eb09aff,f5aeb0b6798a7470,dbb936c8c1ffecd9,ecc6252a91d769cd,f5904cf7a1231a7a,f3602ece1606872c,43eba83eee969f1e,e48dc30f6cbde6fe,0569ab4f29228b28,9de61584ed97694c,67d183cf4199ecb9,2023-2024,Branca,Nao,25-29,25,3500.5,False,False,True,False,,,False,False,True,,Nao_ocorreram_layoffs/demissoes_em_massa_na_empresa_em_que_trabalho,,,,,3.0,,,1.0,,1.0,3.0,,1.0,4.0,0.0,2.0,5.0,2.0,1.0,1.0,1.0,True,False,False,0czmmsqic3e0czzgfpcxcmlvopm6lzgf,,2023
6fe48053407bb644db5b148ae806f56f90ee74ba6fabd2e4992cda806e7ad0c8,409521f02c8b29bd,c518a4f98887a30b,55cdc119d607e551,0e1e984e5bd7c32f,cbb8b78dc192f1be,43eba83eee969f1e,a8345d98542c8fcb,0569ab4f29228b28,982900b1b6b3c126,85595ffccc905ca5,2023-2024,Branca,Nao,25-29,26,5000.5,False,False,True,True,,,False,False,True,,Nao_ocorreram_layoffs/demissoes_em_massa_na_empresa_em_que_trabalho,,6.0,,,1.0,,,1.0,,,1.0,,1.0,4.0,1.0,,,2.0,1.0,1.0,1.0,True,False,False,0gn3aonvi5bf7v0gditzg8sz142fxclo,,2023
1d21e07d1e0ae9aae522a37a8925823a5ab4dbce6b7c9ef7bb8749fc3a68df17,f5aeb0b6798a7470,fe17ae5e2eff92b0,92613a8f434050ae,0e1e984e5bd7c32f,cbb8b78dc192f1be,2833afa24eae7ac7,a8345d98542c8fcb,c9ed1c765640c18d,0e2cf1c49e48255b,940f48d40481453d,2023-2024,Amarela,Nao,30-34,33,14000.5,False,False,True,True,,,True,False,True,,"Sim,_ocorreram_layoffs/demissoes_em_massa_na_empresa_em_que_trabalho_mas_nao_fui_afetado",,8.0,,,1.0,,,1.0,,1.0,3.0,,1.0,3.0,1.0,,,2.0,1.0,1.0,1.0,True,False,False,0gqoessq550geoi56otja8nxkzhl2yoe,,2023
205f450151b6a698f57b127585548d42739883230268660785b64479ddc093a7,f5aeb0b6798a7470,dbb936c8c1ffecd9,ecc6252a91d769cd,0e1e984e5bd7c32f,f3602ece1606872c,d68d5f833235fe5f,a8345d98542c8fcb,c9ed1c765640c18d,982900b1b6b3c126,fe70e8c8015640e1,2023-2024,Branca,Nao,22-24,24,2500.5,False,False,True,True,,,True,False,True,,"Sim,_ocorreram_layoffs/demissoes_em_massa_na_empresa_em_que_trabalho_mas_nao_fui_afetado",,,8.0,,1.0,,,1.0,,1.0,3.0,,2.0,4.0,3.0,,3.0,2.0,1.0,1.0,2.0,True,False,False,0mp2dsmps10vyxahto0mp2ddj4kdfc2s,,2023
aeb4743acf14539bd33c5238198634225a78713c02b1fc91b8a44b2734b1e77f,6f496e9738ca13d1,c518a4f98887a30b,ecc6252a91d769cd,f5904cf7a1231a7a,cbb8b78dc192f1be,d68d5f833235fe5f,fe3df6ab57602796,c9ed1c765640c18d,982900b1b6b3c126,5cc11ce5bfb49a2b,2023-2024,Branca,Nao,22-24,24,1500.5,False,False,True,True,False,True,False,False,True,,Nao_ocorreram_layoffs/demissoes_em_massa_na_empresa_em_que_trabalho,,,,7.0,2.0,,,3.0,,,3.0,,3.0,6.0,2.0,,,2.0,1.0,3.0,2.0,True,False,True,0u9ldjdnpdo5ajqnplj9khr0u9ldjdnv,,2023
4c723f824fdf3081ad7b8d5b4f5cc59ae59ed92934c4dd26d4f367da94c1799c,f5aeb0b6798a7470,,,0e1e984e5bd7c32f,cbb8b78dc192f1be,2833afa24eae7ac7,936382867105808c,c9ed1c765640c18d,b8ec533185a2aae8,a78cd477da7a2759,2023-2024,Branca,Nao,40-44,41,35000.5,True,False,True,True,,,True,False,True,"Mais_ou_menos..._E_uma_das_varias_iniciativas_que_estamos_impulsionando,_mas_nao_e_uma_prioridade_(tratam-se_de_iniciativas_isoladas_e_com_pouco_foco).","Sim,_ocorreram_layoffs/demissoes_em_massa_na_empresa_em_que_trabalho_mas_nao_fui_afetado",,,,,,,4.0,,10.0,,3.0,,,,,,,2.0,,,,True,True,False,0w0cx6th9989gcfjxxvpjr50w0cx6osv,,2023
fcea970e63b03fe5ce02ee6d0422d94ebb367d5cfc69ab582bc65faac5e8600e,ce344a418127968f,c2746be945b965d3,55cdc119d607e551,8d8376636f8ade6f,cbb8b78dc192f1be,43eba83eee969f1e,a8345d98542c8fcb,c9ed1c765640c18d,2048c036bd9b18b5,d95903abcbe2576f,2023-2024,Parda,Nao,25-29,25,10000.5,False,False,True,True,,,False,False,True,,Nao_ocorreram_layoffs/demissoes_em_massa_na_empresa_em_que_trabalho,,,13.0,,2.0,,,1.0,,1.0,3.0,,1.0,4.0,4.0,,,3.0,1.0,1.0,1.0,True,False,False,0xic84omxpd7ptjgan0xic84o5sn3174,,2023
cc298c8dd45f79fb22930b50b6bcbbacab67eecf12c8e4849e34aac8ca355370,32da6721804f1dd3,e6a628f18955ffc3,92613a8f434050ae,78dcf54c346ca653,cbb8b78dc192f1be,43eba83eee969f1e,fe3df6ab57602796,c9ed1c765640c18d,982900b1b6b3c126,940f48d40481453d,2023-2024,Branca,Nao,25-29,29,14000.5,False,False,True,False,True,True,True,False,True,,"Sim,_ocorreram_layoffs/demissoes_em_massa_na_empresa_em_que_trabalho_mas_nao_fui_afetado",,,,7.0,5.0,,,1.0,,,3.0,,1.0,5.0,3.0,3.0,,4.0,1.0,1.0,1.0,True,False,True,150n2wvf0ynssn3lolep150n2wvfwppi,,2023
