"familia","cargo","senioridade","profissionais","pct_do_ano"
"Gestor, sem cargo técnico","Gestor, sem cargo técnico","Gestor, sem senioridade","727","20.8"
"Fora da área de dados","Fora da área de dados","Fora da área de dados","267","7.6"
"Análise","Analista de Dados","Pleno","211","6.0"
"Análise","Analista de Dados","Sênior","184","5.3"
"Engenharia","Engenheiro de Dados","Sênior","182","5.2"
"Ciência de Dados","Cientista de Dados","Sênior","147","4.2"
"Análise","Analista de Dados","Júnior","145","4.1"
"Ciência de Dados","Cientista de Dados","Pleno","139","4.0"
"Engenharia","Engenheiro de Dados","Pleno","109","3.1"
"Outros","Outros","Júnior","90","2.6"
"Análise","Analista de BI","Pleno","82","2.3"
"Ciência de Dados","Cientista de Dados","Especialista / Staff+","72","2.1"
"Ciência de Dados","Cientista de Dados","Júnior","65","1.9"
"Engenharia","Engenheiro de Dados","Especialista / Staff+","62","1.8"
"Análise","Analista de BI","Sênior","59","1.7"
"Engenharia","Analytics Engineer","Sênior","59","1.7"
"Análise","Analista de Dados","Especialista / Staff+","59","1.7"
"Análise","Analista de BI","Júnior","57","1.6"
"Outros","Outros","Pleno","55","1.6"
"Análise","Analista de Negócios","Pleno","53","1.5"
"Engenharia","Engenheiro de Dados","Júnior","49","1.4"
"Análise","Analista de Negócios","Sênior","48","1.4"
"Machine Learning / IA","Engenheiro de ML / IA","Sênior","42","1.2"
"Engenharia","Analytics Engineer","Pleno","41","1.2"
"Engenharia de Software","Desenvolvedor / Eng. de Software","Sênior","41","1.2"
