"cargo","senioridade","respondentes","salario_medio_mes","mediana"
"Engenheiro de ML / IA","Sênior","42","21870.0","18001.0"
"Engenheiro de Dados","Especialista / Staff+","62","21589.0","18001.0"
"Gestor, sem cargo técnico","Gestor, sem senioridade","727","19776.0","18123.0"
"Cientista de Dados","Especialista / Staff+","72","19639.0","18001.0"
"Desenvolvedor / Eng. de Software","Sênior","41","17586.0","14001.0"
"Engenheiro de Dados","Sênior","182","16740.0","14001.0"
"Cientista de Dados","Sênior","147","15623.0","14001.0"
"Analytics Engineer","Sênior","59","15551.0","14001.0"
"Analista de Dados","Especialista / Staff+","59","14848.0","14001.0"
"Analista de Dados","Sênior","184","12126.0","10001.0"
"Analista de Negócios","Sênior","48","10490.0","10001.0"
"Engenheiro de Dados","Pleno","109","9675.0","10001.0"
"Cientista de Dados","Pleno","139","9608.0","10001.0"
"Analista de BI","Sênior","59","9577.0","10001.0"
"Analytics Engineer","Pleno","41","9415.0","10001.0"
"Outros","Sênior","39","8436.0","7001.0"
"Analista de Dados","Pleno","211","7437.0","7001.0"
"Analista de Negócios","Pleno","53","7425.0","7001.0"
"Analista de BI","Pleno","82","6891.0","6501.0"
"Cientista de Dados","Júnior","65","6016.0","5223.0"
