"senioridade","modelo_trabalho","respondentes","salario_medio","pct_saiu_da_regiao"
"Especialista / Staff+","100% remoto","180","21484.0","65.0"
"Especialista / Staff+","Híbrido flexível","73","20309.0","68.8"
"Especialista / Staff+","Híbrido com dias fixos","64","17204.0","35.7"
"Especialista / Staff+","100% presencial","32","13110.0","75.0"
"Gestor, sem senioridade","Híbrido flexível","187","21509.0","56.5"
"Gestor, sem senioridade","100% remoto","232","20253.0","52.9"
"Gestor, sem senioridade","Híbrido com dias fixos","154","19504.0","52.9"
"Gestor, sem senioridade","100% presencial","154","17228.0","66.7"
"Júnior","Híbrido flexível","80","4794.0","50.0"
"Júnior","Híbrido com dias fixos","114","4593.0","88.9"
"Júnior","100% remoto","134","4430.0","56.3"
"Júnior","100% presencial","190","3424.0","55.2"
"Pleno","100% remoto","309","9075.0","58.9"
"Pleno","Híbrido flexível","143","8801.0","55.6"
"Pleno","Híbrido com dias fixos","147","7973.0","61.1"
"Pleno","100% presencial","176","6745.0","71.4"
"Sênior","100% remoto","426","15727.0","52.4"
"Sênior","Híbrido flexível","148","14190.0","72.2"
"Sênior","Híbrido com dias fixos","166","13998.0","63.4"
"Sênior","100% presencial","118","9848.0","68.0"
